word,length,difficulty
aaron,5,Easy
abandoned,9,Hard
aberdeen,8,Medium
abilities,9,Hard
ability,7,Medium
aboriginal,10,Hard
abortion,8,Medium
about,5,Easy
above,5,Easy
abraham,7,Medium
abroad,6,Medium
absence,7,Medium
absent,6,Medium
absolute,8,Medium
absolutely,10,Hard
absorption,10,Hard
abstract,8,Medium
abstracts,9,Hard
abuse,5,Easy
academic,8,Medium
academics,9,Hard
academy,7,Medium
accent,6,Medium
accept,6,Medium
acceptable,10,Hard
acceptance,10,Hard
accepted,8,Medium
accepting,9,Hard
accepts,7,Medium
access,6,Medium
accessed,8,Medium
accessibility,13,Hard
accessible,10,Hard
accessing,9,Hard
accessories,11,Hard
accessory,9,Hard
accident,8,Medium
accidents,9,Hard
accommodate,11,Hard
accommodation,13,Hard
accommodations,14,Hard
accompanied,11,Hard
accompanying,12,Hard
accomplish,10,Hard
accomplished,12,Hard
accordance,10,Hard
according,9,Hard
accordingly,11,Hard
account,7,Medium
accountability,14,Hard
accounting,10,Hard
accounts,8,Medium
accreditation,13,Hard
accredited,10,Hard
accuracy,8,Medium
accurate,8,Medium
accurately,10,Hard
accused,7,Medium
acdbentity,10,Hard
achieve,7,Medium
achieved,8,Medium
achievement,11,Hard
achievements,12,Hard
achieving,9,Hard
acids,5,Easy
acknowledge,11,Hard
acknowledged,12,Hard
acoustic,8,Medium
acquire,7,Medium
acquired,8,Medium
acquisition,11,Hard
acquisitions,12,Hard
acres,5,Easy
acrobat,7,Medium
across,6,Medium
acrylic,7,Medium
acting,6,Medium
action,6,Medium
actions,7,Medium
activated,9,Hard
activation,10,Hard
active,6,Medium
actively,8,Medium
activists,9,Hard
activities,10,Hard
activity,8,Medium
actor,5,Easy
actors,6,Medium
actress,7,Medium
actual,6,Medium
actually,8,Medium
acute,5,Easy
adams,5,Easy
adaptation,10,Hard
adapted,7,Medium
adapter,7,Medium
adapters,8,Medium
adaptive,8,Medium
adaptor,7,Medium
added,5,Easy
addiction,9,Hard
adding,6,Medium
addition,8,Medium
additional,10,Hard
additionally,12,Hard
additions,9,Hard
address,7,Medium
addressed,9,Hard
addresses,9,Hard
addressing,10,Hard
adelaide,8,Medium
adequate,8,Medium
adidas,6,Medium
adipex,6,Medium
adjacent,8,Medium
adjust,6,Medium
adjustable,10,Hard
adjusted,8,Medium
adjustment,10,Hard
adjustments,11,Hard
admin,5,Easy
administered,12,Hard
administration,14,Hard
administrative,14,Hard
administrator,13,Hard
administrators,14,Hard
admission,9,Hard
admissions,10,Hard
admit,5,Easy
admitted,8,Medium
adobe,5,Easy
adolescent,10,Hard
adopt,5,Easy
adopted,7,Medium
adoption,8,Medium
adrian,6,Medium
adult,5,Easy
adults,6,Medium
advance,7,Medium
advanced,8,Medium
advancement,11,Hard
advances,8,Medium
advantage,9,Hard
advantages,10,Hard
adventure,9,Hard
adventures,10,Hard
adverse,7,Medium
advert,6,Medium
advertise,9,Hard
advertisement,13,Hard
advertisements,14,Hard
advertiser,10,Hard
advertisers,11,Hard
advertising,11,Hard
advice,6,Medium
advise,6,Medium
advised,7,Medium
advisor,7,Medium
advisors,8,Medium
advisory,8,Medium
advocacy,8,Medium
advocate,8,Medium
adware,6,Medium
aerial,6,Medium
aerospace,9,Hard
affair,6,Medium
affairs,7,Medium
affect,6,Medium
affected,8,Medium
affecting,9,Hard
affects,7,Medium
affiliate,9,Hard
affiliated,10,Hard
affiliates,10,Hard
affiliation,11,Hard
afford,6,Medium
affordable,10,Hard
afghanistan,11,Hard
afraid,6,Medium
africa,6,Medium
african,7,Medium
after,5,Easy
afternoon,9,Hard
afterwards,10,Hard
again,5,Easy
against,7,Medium
agencies,8,Medium
agency,6,Medium
agenda,6,Medium
agent,5,Easy
agents,6,Medium
aggregate,9,Hard
aggressive,10,Hard
aging,5,Easy
agree,5,Easy
agreed,6,Medium
agreement,9,Hard
agreements,10,Hard
agrees,6,Medium
agricultural,12,Hard
agriculture,11,Hard
ahead,5,Easy
aimed,5,Easy
aircraft,8,Medium
airfare,7,Medium
airline,7,Medium
airlines,8,Medium
airplane,8,Medium
airport,7,Medium
airports,8,Medium
alabama,7,Medium
alarm,5,Easy
alaska,6,Medium
albania,7,Medium
albany,6,Medium
albert,6,Medium
alberta,7,Medium
album,5,Easy
albums,6,Medium
albuquerque,11,Hard
alcohol,7,Medium
alert,5,Easy
alerts,6,Medium
alexander,9,Hard
alexandria,10,Hard
alfred,6,Medium
algebra,7,Medium
algeria,7,Medium
algorithm,9,Hard
algorithms,10,Hard
alias,5,Easy
alice,5,Easy
alien,5,Easy
align,5,Easy
alignment,9,Hard
alike,5,Easy
alive,5,Easy
allah,5,Easy
allan,5,Easy
alleged,7,Medium
allen,5,Easy
allergy,7,Medium
alliance,8,Medium
allied,6,Medium
allocated,9,Hard
allocation,10,Hard
allow,5,Easy
allowance,9,Hard
allowed,7,Medium
allowing,8,Medium
allows,6,Medium
alloy,5,Easy
almost,6,Medium
alone,5,Easy
along,5,Easy
alpha,5,Easy
alphabetical,12,Hard
alpine,6,Medium
already,7,Medium
alter,5,Easy
altered,7,Medium
alternate,9,Hard
alternative,11,Hard
alternatively,13,Hard
alternatives,12,Hard
although,8,Medium
aluminium,9,Hard
aluminum,8,Medium
alumni,6,Medium
always,6,Medium
amanda,6,Medium
amateur,7,Medium
amazing,7,Medium
amazon,6,Medium
amazoncom,9,Hard
amazoncouk,10,Hard
ambassador,10,Hard
amber,5,Easy
ambien,6,Medium
ambient,7,Medium
amend,5,Easy
amended,7,Medium
amendment,9,Hard
amendments,10,Hard
amenities,9,Hard
america,7,Medium
american,8,Medium
americans,9,Hard
americas,8,Medium
amino,5,Easy
among,5,Easy
amongst,7,Medium
amount,6,Medium
amounts,7,Medium
ampland,7,Medium
amplifier,9,Hard
amsterdam,9,Hard
anaheim,7,Medium
analog,6,Medium
analyses,8,Medium
analysis,8,Medium
analyst,7,Medium
analysts,8,Medium
analytical,10,Hard
analyze,7,Medium
analyzed,8,Medium
anatomy,7,Medium
anchor,6,Medium
ancient,7,Medium
andale,6,Medium
anderson,8,Medium
andorra,7,Medium
andrea,6,Medium
andreas,7,Medium
andrew,6,Medium
andrews,7,Medium
angel,5,Easy
angela,6,Medium
angeles,7,Medium
angels,6,Medium
anger,5,Easy
angle,5,Easy
angola,6,Medium
angry,5,Easy
animal,6,Medium
animals,7,Medium
animated,8,Medium
animation,9,Hard
anime,5,Easy
annex,5,Easy
annie,5,Easy
anniversary,11,Hard
annotated,9,Hard
annotation,10,Hard
announce,8,Medium
announced,9,Hard
announcement,12,Hard
announcements,13,Hard
announces,9,Hard
annoying,8,Medium
annual,6,Medium
annually,8,Medium
anonymous,9,Hard
another,7,Medium
answer,6,Medium
answered,8,Medium
answering,9,Hard
answers,7,Medium
antarctica,10,Hard
antenna,7,Medium
anthony,7,Medium
anthropology,12,Hard
antibodies,10,Hard
antibody,8,Medium
anticipated,11,Hard
antigua,7,Medium
antique,7,Medium
antiques,8,Medium
antivirus,9,Hard
antonio,7,Medium
anxiety,7,Medium
anybody,7,Medium
anymore,7,Medium
anyone,6,Medium
anything,8,Medium
anytime,7,Medium
anyway,6,Medium
anywhere,8,Medium
apache,6,Medium
